no,source_relative_path,source_name,target_directory,target_path,size_bytes,source_state,placement_rationale,copied_as
24,SeungeFlow_Ctp_v3_Theorem.md,SeungeFlow_Ctp_v3_Theorem.md,02_theory_core/c_tp_C,epluone/02_theory_core/c_tp_C/_source_original/SeungeFlow_Ctp_v3_Theorem.md,425,original,Ctp v3 / survival framework / theorem 계열,SeungeFlow_Ctp_v3_Theorem.md
25,SeungeFlow_IDX_01_to_33_originals.zip,SeungeFlow_IDX_01_to_33_originals.zip,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/SeungeFlow_IDX_01_to_33_originals.zip,84463,original,IDX 원본 archive,SeungeFlow_IDX_01_to_33_originals.zip
26,SeungeFlow_blackhole_accretiondisk_bundle_v2(1).zip,SeungeFlow_blackhole_accretiondisk_bundle_v2(1).zip,05_dynamic_geometry/blackhole,epluone/05_dynamic_geometry/blackhole/_source_original/SeungeFlow_blackhole_accretiondisk_bundle_v2(1).zip,3234586,original,blackhole / accretion disk 동역학 도형 field,SeungeFlow_blackhole_accretiondisk_bundle_v2(1).zip
27,SeungeFlow_blackhole_accretiondisk_structured_bundle(1).zip,SeungeFlow_blackhole_accretiondisk_structured_bundle(1).zip,05_dynamic_geometry/blackhole,epluone/05_dynamic_geometry/blackhole/_source_original/SeungeFlow_blackhole_accretiondisk_structured_bundle(1).zip,3170958,original,blackhole / accretion disk 동역학 도형 field,SeungeFlow_blackhole_accretiondisk_structured_bundle(1).zip
28,SeungeFlow_vectorizing.md,SeungeFlow_vectorizing.md,03_vector_operation/structure_formula,epluone/03_vector_operation/structure_formula/_source_original/SeungeFlow_vectorizing.md,1365,original,벡터연산기법 핵심 문서,SeungeFlow_vectorizing.md
29,dot_empty_position_meta_bundle.zip,dot_empty_position_meta_bundle.zip,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/dot_empty_position_meta_bundle.zip,5967,original,미분류 zip 후보군,dot_empty_position_meta_bundle.zip
30,empty_position.meta.md,empty_position.meta.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/empty_position.meta.md,19735,original,미분류 Markdown 후보군,empty_position.meta.md
31,empty_position.metaplus.md,empty_position.metaplus.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/empty_position.metaplus.md,10908,original,미분류 Markdown 후보군,empty_position.metaplus.md
32,image(136).png,image(136).png,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/image(136).png,25873,original,미분류 후보군,image(136).png
33,new_instance_alignment_after_thinking_flow_020.md,new_instance_alignment_after_thinking_flow_020.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/new_instance_alignment_after_thinking_flow_020.md,8123,original,미분류 Markdown 후보군,new_instance_alignment_after_thinking_flow_020.md
34,paper_en.md,paper_en.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/paper_en.md,15911,original,미분류 Markdown 후보군,paper_en.md
35,paper_ko.md,paper_ko.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/paper_ko.md,17197,original,미분류 Markdown 후보군,paper_ko.md
36,seunge_flow_cassini_engine.py,seunge_flow_cassini_engine.py,05_dynamic_geometry/cassini_gap,epluone/05_dynamic_geometry/cassini_gap/_source_original/seunge_flow_cassini_engine.py,5068,original,Cassini gap / 전이 좌표 field,seunge_flow_cassini_engine.py
37,thinking_flow_019(5).md,thinking_flow_019(5).md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/thinking_flow_019(5).md,13929,original,미분류 Markdown 후보군,thinking_flow_019(5).md
38,thinking_flow_020(1).md,thinking_flow_020(1).md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/thinking_flow_020(1).md,18229,original,미분류 Markdown 후보군,thinking_flow_020(1).md
39,thinking_flow_021.md,thinking_flow_021.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/thinking_flow_021.md,15800,original,미분류 Markdown 후보군,thinking_flow_021.md
40,thinking_flow_021_generated/thinking_flow_021.md,thinking_flow_021.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/29b2d775__thinking_flow_021.md,13544,original,미분류 Markdown 후보군,29b2d775__thinking_flow_021.md
41,thinking_flow_021_generated/thinking_flow_021_en.md,thinking_flow_021_en.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/thinking_flow_021_en.md,10089,original,미분류 Markdown 후보군,thinking_flow_021_en.md
42,thinking_flow_source_021.md,thinking_flow_source_021.md,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/thinking_flow_source_021.md,21485,original,미분류 Markdown 후보군,thinking_flow_source_021.md
43,user-7pEZbrXr2eQjeDlvfxpJ0mhe/2ab0f0ee21d64f1b8c19ff8e7de85353/mnt/data/contact_en.png,contact_en.png,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/contact_en.png,336344,original,미분류 후보군,contact_en.png
44,user-7pEZbrXr2eQjeDlvfxpJ0mhe/2ab0f0ee21d64f1b8c19ff8e7de85353/mnt/data/contact_ko.png,contact_ko.png,09_branch_experiments/archived_candidates,epluone/09_branch_experiments/archived_candidates/_source_original/contact_ko.png,309869,original,미분류 후보군,contact_ko.png
45,vectorizing.zip,vectorizing.zip,04_vectorizing_tests,epluone/04_vectorizing_tests/_source_original/vectorizing.zip,622915,original,경전 vectorizing 구조테스트 묶음,vectorizing.zip
46,더띵즈시스템_OS_Restore핵심(2).md,더띵즈시스템_OS_Restore핵심(2).md,07_the_things_os,epluone/07_the_things_os/_source_original/더띵즈시스템_OS_Restore핵심(2).md,168284,original,the_things_OS 구현/복구 branch,더띵즈시스템_OS_Restore핵심(2).md
47,벡터동역학시공간구현_0001.py,벡터동역학시공간구현_0001.py,05_dynamic_geometry/vortex,epluone/05_dynamic_geometry/vortex/_source_original/벡터동역학시공간구현_0001.py,5194,original,벡터 동역학 시공간 구현,벡터동역학시공간구현_0001.py
48,자동구현프로토콜.md,자동구현프로토콜.md,06_ai_cognitive_os/heterogeneous_ai_protocol,epluone/06_ai_cognitive_os/heterogeneous_ai_protocol/_source_original/자동구현프로토콜.md,1483,original,이기종 AI 자동구현 프로토콜,자동구현프로토콜.md
